Course code,Course title,Grade
CSS 453,Industrial project (Testing),60
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
,,SA : 0
Total Internal Credits : 124,,Grand Average : 82.7
,,
Prepared Date : 12.18.2023,,
Notes :,,
* : Repeated course,GA : Grade Average in Percent,
** : Transfered course,SA : Semester Average in Percent,
,,
Grade,,
In Percent,Alphabetic,
95 - 100,A,
90 - 94,A-,
85 - 89,B+,
80 - 84,B,
75 - 79,B-,
70 - 74,C+,
65 - 69,C,
60 - 64,C-,
55 - 59,D+,
50 - 54,D,
25 - 49,FX,
0 - 24,F,
"C + (good) was commissioned in accordance with the order of the MES of the Republic of Kazakhstan No. 563 of October 12, 2018.
Courses that are excluded from GPA calculation have following grades: P - Pass (50%-100%); NP - Not Pass (0%-49%).",,
"Furmulae for calculating grand and semester grade indicators:
GPA = Sum of (Point * Credit) / Sum of Credits
SPA = Sum of (Point * Credit) in semester / Sum of Credits in semester
GA = Sum of (Grade * Credit) / Sum of Credits
SA = Sum of (Grade * Credit) in semester / Sum of Credits in semester",,
2020 - 2021. 1,,
IRN 105,Introduction to International Relations,97
MDE 103,Foreign Language 1 (English for Specific Purposes - B1 level ),88
MDE 131,Turkish Language 1 (А1 level),97
MDE 141,Physical Education 1,93
MDE 161,Еconomy,88
MDE 162,Law,95
MDE 173,Information and Communication Technologies (in English),94
,,SA : 92.9
2020 - 2021. 2,,
IRN 116,Module of Social and Political Knowledge (Political Science),98
IRN 128,Human Rights,100
IRN 198,Educational practice,85
IRN 201,Modern History of International Relations,98
IRN 208,International Organizations,92
MDE 132,Turkish Language 2 (А1 level),95
MDE 142,Physical Education 2,95
MDE 152,Module of Social and Political Knowledge (Sociology),100
MDE 188,Foreign Language 2 (English for Specific Purposes - B1+ level ),98
,,SA : 96.53
2021 - 2022. 2,,
IRN 203,International (Public) Law,* 100
IRN 209,International Relations Theories,* 97
IRN 220,Contemporary history of International Relations,* 97
IRN 223,Geopolitics and Eurasian Integration,* 98
IRN 311,Multilateral Diplomacy,* 99
IRN 328,Research Methods,* 98
IRN 345,Quantitative Research Methods,* 98
IRN 351,European Integration and European Union,* 97
MDE 133,Turkish Language 3 (А2 level),* 98
MDE 134,Turkish Language 4 (А2 level),* 97
MDE 153,Module of Social and Political Knowledge (Cultural Studies),* 84
MDE 154,Module of Social and Political Knowledge (Psychology),* 88
MDE 172,Philosophy,* 98
,,SA : 97.09
2022 - 2023. 1,,
IRN 211,Diplomatic and Consular Services,100
IRN 219,Introduction to Comparative Politics,100
IRN 320,Foreign Policy of Kazakhstan,100
IRN 325,Foreign Language of Specialization - I (French European),91
IRN 346,Contemporary system of international relations,100
IRN 348,Techniques of Conducting Diplomatic Negotiations,100
MDE 125,Russian Language 1 (B2 level),95
MDE 255,Physical Education 3 (Athletics),97
,,SA : 97.95
2022 - 2023. 2,,
IRN 306,Diplomatic Protocol and Documentation,100
IRN 308,Foreign Language of Specialization - II (French European),97
IRN 370,Global Political Economy,92
MDE 126,Russian Language 2 (B2 level),95
MDE 171,History of Kazakhstan,77
MDE 244,Physical Education 4 (Basketball),91
,,SA : 92.11
2023 - 2024. 1,,
IRN 205,Foreign Policy Analysis,52
IRN 216,International Conflicts and Peace,38
IRN 340,Emerging China and World affairs,50
IRN 355,International Security,60
IRN 445,Foreign Language of Specialization (French European),54
IRN 468,Contemporary Issues in International Relations,57
,,SA : 0
Total Internal Credits : 108,,Grand Average : 95.73
2020 - 2021. 1,,
CSS 105,Fundamentals of Programming,70
MAT 151,Linear Algebra,100
MAT 153,Mathematics for Computer Science 1,86
MDE 104,Foreign Language 1 (English for Specific Purposes - B2 level),92
MDE 131,Turkish Language 1 (А1 level),93
MDE 141,Physical Education 1,95
MDE 171,Modern History of Kazakhstan,96
,,SA : 89.63
2020 - 2021. 2,,
CSS 108,Programming Technologies and Educational Practice,66
INF 106,Information and Communications Technologies (Computer Science),92
MAT 154,Mathematics for Computer Science 2,67
MAT 156,Discrete Mathematics,59
MDE 106,Foreign Language 2 (English for Specific Purposes - B2+ level),87
MDE 132,Turkish Language 2 (А1 level),95
MDE 142,Physical Education 2,95
MDE 144,Physical Education 4,100
,,SA : 79.06
2021 - 2022. 1,,
CSS 152,Physics 1,68
CSS 215,Introduction to Algorithms,78
INF 202,Database Management Systems 1,100
INF 231,Web programming: front end,91
MDE 113,Kazakh Language 1 (B1 level),95
MDE 133,Turkish Language 3 (А2 level),98
MDE 143,Physical Education 3,95
,,SA : 88.13
2021 - 2022. 2,,
CSS 220,Advanced Algorithms,82
INF 232,Web programming: back end,88
INF 305,Database Management Systems 2,74
INF 313,Computer networks 1,77
MDE 114,Kazakh Language 2 (B1 level),91
MDE 134,Turkish Language 4 (А2 level),99
,,SA : 84.18
2022 - 2023. 1,,
CSS 216,Mobile Programming,78
CSS 380,Industrial practice 1,100
INF 312,Engineering and computer graphics,95
INF 324,Computer vision,91
MAT 251,Probability and Mathematical Statictics,77
MDE 151,Module of Social and Political Knowledge (Political Science),84
MDE 152,Module of Social and Political Knowledge (Sociology),80
MDE 162,Law,100
,,SA : 87.34
2022 - 2023. 2,,
CSS 381,Industrial practice 2,100
INF 332,Enterprise Architecture,70
INF 333,Server Administration with Active Directory - Windows Server (Microsoft Certified Solutions Associate),70
INF 363,Advanced VFX and Post Production,67
INF 369,Data visuallisation and storytelling,75
MDE 153,Module of Social and Political Knowledge (Cultural Studies),99
MDE 154,Module of Social and Political Knowledge (Psychology),96
MDE 172,Philosophy,89
,,SA : 78.17
2023 - 2024. 1,,
CSS 410,Research tools and methods,59
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
INF 405,Personal Development in Computer Science,60
INF 415,Leadership in IT,48
INF 426,IT Asset Management,
INF 431,Accounting Information Systems,
,,SA : 0
Total Internal Credits : 111,,Grand Average : 84.35
2020 - 2021. 1,,
CEC 101,General English (A1 level),84
CSS 105,Fundamentals of Programming,57
MAT 151,Linear Algebra,83
MAT 153,Mathematics for Computer Science 1,54
MDE 131,Turkish Language 1 (А1 level),82
MDE 141,Physical Education 1,90
MDE 171,Modern History of Kazakhstan,88
,,SA : 73.44
2020 - 2021. 2,,
CEC 102,General English (A2 level),74
CSS 108,Programming Technologies and Educational Practice,56
INF 106,Information and Communications Technologies (Computer Science),78
MAT 154,Mathematics for Computer Science 2,60
MAT 156,Discrete Mathematics,0
MDE 132,Turkish Language 2 (А1 level),95
MDE 142,Physical Education 2,95
,,SA : 57.8
2021 - 2022. 1,,
CSS 152,Physics 1,0
CSS 215,Introduction to Algorithms,73
INF 202,Database Management Systems 1,78
INF 231,Web programming: front end,83
MDE 123,Russian Language 1 (B1 level),87
MDE 133,Turkish Language 3 (А2 level),71
MDE 143,Physical Education 3,90
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),63
,,SA : 66.09
2021 - 2022. 2,,
CSS 220,Advanced Algorithms,84
INF 232,Web programming: back end,100
INF 305,Database Management Systems 2,81
INF 313,Computer networks 1,92
MDE 124,Russian Language 2 (B1 level),77
MDE 134,Turkish Language 4 (А2 level),81
MDE 144,Physical Education 4,97
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),76
,,SA : 85.34
2022 - 2023. 1,,
CSS 223,C# Object Oriented Programming,98
CSS 380,Industrial practice 1,100
CSS 417,Linux Administration,76
INF 425,Wireless networks,72
MAT 251,Probability and Mathematical Statictics,86
MDE 151,Module of Social and Political Knowledge (Political Science),92
MDE 152,Module of Social and Political Knowledge (Sociology),100
MDE 162,Law,94
,,SA : 86.69
2022 - 2023. 2,,
CSS 375,RedHat - System Administration (I + II),88
CSS 381,Industrial practice 2,100
CSS 415,IT Management,82
INF 332,Enterprise Architecture,62
INF 378,AWS Cloud Computing,68
MDE 153,Module of Social and Political Knowledge (Cultural Studies),96
MDE 154,Module of Social and Political Knowledge (Psychology),98
MDE 172,Philosophy,84
,,SA : 80.27
2022 - 2023. 3,,
CSS 111,Physics 1,60
,,SA : 60
2023 - 2024. 1,,
CSS 410,Research tools and methods,32
CSS 450,Industrial project (Introduction),56
CSS 451,Industrial project (Development),56
CSS 452,Industrial project (Design),56
CSS 453,Industrial project (Testing),56
CSS 480,Industrial practice 3,
CSS 481,Industrial practice 3,
MAT 156,Discrete Mathematics,27
,,SA : 0
Total Internal Credits : 124,,Grand Average : 77.11
2020 - 2021. 1,,
CEC 101,General English (A1 level),89
CSS 105,Fundamentals of Programming,85
MAT 151,Linear Algebra,87
MAT 153,Mathematics for Computer Science 1,80
MDE 131,Turkish Language 1 (А1 level),90
MDE 141,Physical Education 1,95
MDE 171,Modern History of Kazakhstan,96
,,SA : 88
2020 - 2021. 2,,
CEC 102,General English (A2 level),68
CSS 108,Programming Technologies and Educational Practice,58
INF 106,Information and Communications Technologies (Computer Science),81
MAT 154,Mathematics for Computer Science 2,74
MAT 156,Discrete Mathematics,65
MDE 132,Turkish Language 2 (А1 level),90
MDE 142,Physical Education 2,95
MDE 144,Physical Education 4,95
,,SA : 75.56
2021 - 2022. 1,,
CSS 152,Physics 1,70
CSS 215,Introduction to Algorithms,83
INF 202,Database Management Systems 1,76
INF 231,Web programming: front end,88
MDE 123,Russian Language 1 (B1 level),90
MDE 133,Turkish Language 3 (А2 level),85
MDE 143,Physical Education 3,95
MDE 151,Module of Social and Political Knowledge (Political Science),90
MDE 152,Module of Social and Political Knowledge (Sociology),93
MDE 190,Foreign Language 1 (English for Specific Purposes - B1 level ),90
,,SA : 84.51
2021 - 2022. 2,,
CSS 220,Advanced Algorithms,77
INF 232,Web programming: back end,70
INF 305,Database Management Systems 2,78
INF 313,Computer networks 1,70
MDE 124,Russian Language 2 (B1 level),85
MDE 134,Turkish Language 4 (А2 level),80
MDE 153,Module of Social and Political Knowledge (Cultural Studies),96
MDE 172,Philosophy,79
MDE 191,Foreign Language 2 (English for Specific Purposes - B1+ level ),95
,,SA : 80.05
2022 - 2023. 1,,
CSS 380,Industrial practice 1,70
CSS 417,Linux Administration,70
INF 328,3D modeling,70
INF 357,Introduction to Unity programming,75
MAT 251,Probability and Mathematical Statictics,63
MDE 162,Law,88
,,SA : 73.2
2022 - 2023. 2,,
CSS 381,Industrial practice 2,70
